trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.5, 'e': 0.5543272847345071}",25,0,-89.57817809895418,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.5488116360940265}",20,9,-66.29656819756885,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.5433508690744998}",30,0,-108.15845673149546,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.5379444375946745}",30,0,-68.30129995973292,"{0: 22, 1: 1, 2: 5, 3: 2, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.5325918010068972}",20,12,-31.434779342464154,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.5272924240430485}",20,0,-70.33488586464587,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.522045776761016}",20,0,-87.14619161876169,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.5168513344916992}",30,0,-119.8750006614965,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.5117085777865424}",20,7,-96.36660418059745,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 2}",1
69,False,"{'a': 0.5, 'e': 0.5066169923655895}",20,12,-7.63025423907229,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.5015760690660555}",25,1,15.4427882157056,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.49658530379140947}",25,0,-113.85750577204188,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.4916441974609651}",25,0,-144.74060252793592,"{0: 16, 1: 4, 2: 1, 3: 1, 4: 3}",1
73,False,"{'a': 0.5, 'e': 0.4867522559599717}",25,9,-88.00701457445275,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 2}",1
74,False,"{'a': 0.5, 'e': 0.48190899009020244}",20,0,3.2715906738834324,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.4771139155210344}",25,17,11.578370413790616,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.4723665527410147}",25,0,-50.73044173074451,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.46766642700990924}",30,12,-43.55032673600796,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.46301306831122807}",35,15,-10.513669247355534,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.4584060113052235}",30,20,-0.6504996865562886,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.45384479528235583}",20,0,0.08876793601827093,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,0,1.6185225801221996,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.4448580662229411}",25,0,-18.540546755521657,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.44043165450599925}",30,8,13.378717423350066,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.43604928632153556}",20,0,-13.209708468581017,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.43171052342907973}",25,0,-52.57291990742362,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.4274149319487267}",20,12,-34.131748093722244,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.4231620823177488}",30,0,-53.24681644528118,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.418951549247639}",20,0,-67.51262768527003,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.4147829116815814}",35,19,8.323696803048104,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4106557527523455}",20,16,6.092935971256937,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,12,15.308556256115242,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.40252422403363597}",30,0,-23.980927468441973,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.39851904108451414}",20,0,-22.649666280724574,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.3945537103716011}",30,14,-40.01064335492846,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.3906278353585211}",30,0,-163.66027117123156,"{0: 24, 1: 0, 2: 1, 3: 1, 4: 4}",0
96,False,"{'a': 0.5, 'e': 0.3867410234545012}",25,15,-44.92046998267703,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.38289288597511206}",25,11,-56.692544569856715,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
98,False,"{'a': 0.5, 'e': 0.37908303810339883}",30,0,-28.146454650633135,"{0: 26, 1: 0, 2: 2, 3: 2, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.37531109885139957}",35,24,-26.808236178660437,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.3715766910220457}",20,0,-72.11246932807119,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,17,-8.886140830881454,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.3642189795715233}",25,9,-18.10147693734464,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.3605949401730783}",25,9,-23.945747981691955,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.3570069605691474}",25,0,14.920264597572055,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.35345468195878016}",20,12,3.2841055487384336,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3499377491111553}",30,0,-87.41704670259658,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
107,False,"{'a': 0.5, 'e': 0.3464558103300574}",20,1,-2.77696072715128,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.34300851741870664}",20,0,-30.941153049521755,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.3395955256449391}",30,6,-86.88143560565925,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 2}",1
